epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1521,0.73073,1.40245,1.0209,0.81078,0.81547,0.898,0.74845,0.94901,1.21251,1.24168,0.000543319,0.000543319,0.000543319
2,17.7596,0.4365,0.46924,0.89155,0.99101,0.9912,0.98556,0.86123,0.65291,0.70187,0.90269,0.00108085,0.00108085,0.00108085
3,24.0848,0.36545,0.38357,0.87356,0.99927,1,0.995,0.82974,0.65378,0.46946,0.95574,0.00160005,0.00160005,0.00160005
4,30.2731,0.35236,0.36652,0.8771,0.99918,1,0.995,0.89577,0.41399,0.3334,0.81573,0.00158448,0.00158448,0.00158448
5,36.511,0.35217,0.35366,0.87016,0.99894,1,0.995,0.98066,0.35228,0.40272,0.85397,0.00155698,0.00155698,0.00155698
6,42.8044,0.30488,0.31566,0.85781,0.99867,1,0.995,0.995,0.26036,0.22879,0.76626,0.00152947,0.00152947,0.00152947
7,49.1808,0.30458,0.29047,0.85237,0.99863,1,0.995,0.94267,0.40162,0.41549,0.79685,0.00150197,0.00150197,0.00150197
8,55.6019,0.30081,0.29822,0.85122,0.99959,1,0.995,0.99368,0.26485,0.23171,0.76822,0.00147446,0.00147446,0.00147446
9,61.8508,0.25309,0.26162,0.84659,0.9996,1,0.995,0.99474,0.26049,0.18851,0.77876,0.00144696,0.00144696,0.00144696
10,68.1659,0.25648,0.26226,0.84613,0.99961,1,0.995,0.995,0.31786,0.32432,0.78781,0.00141945,0.00141945,0.00141945
11,74.3092,0.26373,0.26156,0.84455,0.99952,1,0.995,0.995,0.18173,0.21922,0.75544,0.00139195,0.00139195,0.00139195
12,80.5534,0.23834,0.23484,0.83549,0.99952,1,0.995,0.995,0.14932,0.17633,0.72502,0.00136444,0.00136444,0.00136444
13,86.7639,0.23492,0.22928,0.83326,0.99962,1,0.995,0.995,0.16457,0.14284,0.72526,0.00133693,0.00133693,0.00133693
14,93.0078,0.22204,0.23408,0.83215,0.99956,1,0.995,0.995,0.23739,0.19393,0.7439,0.00130943,0.00130943,0.00130943
15,99.1794,0.22298,0.22573,0.83274,0.99967,1,0.995,0.995,0.15175,0.17208,0.72863,0.00128192,0.00128192,0.00128192
16,105.37,0.21776,0.22041,0.83483,0.99965,1,0.995,0.995,0.16616,0.15228,0.73634,0.00125442,0.00125442,0.00125442
17,111.638,0.21033,0.2234,0.83189,0.99962,1,0.995,0.99472,0.21834,0.20693,0.73735,0.00122691,0.00122691,0.00122691
18,117.741,0.2102,0.20935,0.83471,0.99969,1,0.995,0.995,0.168,0.17752,0.72683,0.00119941,0.00119941,0.00119941
19,123.915,0.21361,0.21205,0.83068,0.99956,1,0.995,0.995,0.18643,0.23803,0.73193,0.0011719,0.0011719,0.0011719
20,130.14,0.20739,0.20316,0.8288,0.99969,1,0.995,0.995,0.28087,0.2006,0.77531,0.0011444,0.0011444,0.0011444
21,136.401,0.21307,0.20331,0.82964,0.99985,1,0.995,0.995,0.20563,0.23093,0.73312,0.00111689,0.00111689,0.00111689
